program_id,program,degrees,url,campus,requirement_key,has_requirements,note
149747,Media Studies,"[""Bachelor of Media Studies""]",https://you.ubc.ca/ubc_programs/media-studies/,vancouver,media-studies,True,
552197,Medical Laboratory Science,"[""Bachelor of Medical Laboratory Science""]",https://you.ubc.ca/ubc_programs/medical-laboratory-science/,,,False,no requirements widget on the program page
555222,Medicine,"[""Doctor of Medicine""]",https://you.ubc.ca/ubc_programs/medicine/,,,False,no requirements widget on the program page
863,Medieval Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/medieval-studies/,vancouver,arts,True,
865,Microbiology and Immunology,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/microbiology-immunology/,vancouver,science-2,True,
871,Midwifery,"[""Bachelor of Midwifery""]",https://you.ubc.ca/ubc_programs/midwifery/,,,False,no requirements widget on the program page
875,Mining Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/mining-engineering/,vancouver,engineering,True,
877,Modern European Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/modern-european-studies/,vancouver,arts,True,
883,Museum Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/museum-studies/,vancouver,arts,True,
893,Music,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/music/,vancouver,arts,True,
885,Music: Advanced Performance,"[""Bachelor of Music""]",https://you.ubc.ca/ubc_programs/music-advanced-performance/,vancouver,music,True,
887,Music: Composition,"[""Bachelor of Music""]",https://you.ubc.ca/ubc_programs/music-composition/,vancouver,music,True,
889,Music: General Studies,"[""Bachelor of Music""]",https://you.ubc.ca/ubc_programs/music-general-studies/,vancouver,music,True,
891,Music: Scholarship,"[""Bachelor of Music""]",https://you.ubc.ca/ubc_programs/music-scholarship/,vancouver,music,True,
568741,Neuroscience,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/neuroscience/,vancouver,science-2,True,
913,Nursing,"[""Bachelor of Science in Nursing""]",https://you.ubc.ca/ubc_programs/nursing-vancouver/,,,False,no requirements widget on the program page
915,Nutritional Sciences,"[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/ubc_programs/nutritional-sciences/,vancouver,food-nutrition-health,True,
921,Oceanography,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/oceanography/,vancouver,science-2,True,
561295,Pharmaceutical Sciences,"[""Bachelor of Pharmaceutical Sciences""]",https://you.ubc.ca/ubc_programs/pharmaceutical-sciences/,vancouver,pharmaceutical-sciences,True,
927,Pharmacology,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/pharmacology/,vancouver,science-2,True,
929,Pharmacy,"[""Doctor of Pharmacy""]",https://you.ubc.ca/ubc_programs/pharmacy/,,,False,no requirements widget on the program page
931,Philosophy,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/philosophy-vancouver/,vancouver,arts,True,
943,Physics,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/physics-vancouver/,vancouver,science-2,True,
949,Political Science,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/political-science-vancouver/,vancouver,arts,True,
957,Psychology,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/psychology-vancouver-ba/,vancouver,arts,True,
967,Religion,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/religion/,vancouver,arts,True,
971,Romance Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/romance-studies/,vancouver,arts,True,
989,Social Work,"[""Bachelor of Social Work""]",https://you.ubc.ca/ubc_programs/social-work/,,,False,no requirements widget on the program page
993,Sociology,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/sociology-vancouver/,vancouver,arts,True,
997,Spanish,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/spanish-hispanic-studies/,vancouver,arts,True,
999,Speech Sciences,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/speech-sciences/,vancouver,arts,True,
1003,Statistics,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/statistics-vancouver/,vancouver,science-2,True,
555107,Sustainable Agriculture and Environment,"[""Bachelor of Science in Applied Biology""]",https://you.ubc.ca/ubc_programs/sustainable-agriculture-environment/,vancouver,applied-biology,True,
1009,Theatre Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/theatre/,vancouver,arts,True,
1013,Theatre: Acting,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/ubc_programs/theatre-acting/,vancouver,fine-arts,True,
1015,Theatre: Design and Production,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/ubc_programs/theatre-design-production/,vancouver,fine-arts,True,
1021,United States Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/united-states-studies/,vancouver,arts,True,
341396,Urban Forestry,"[""Bachelor of Urban Forestry""]",https://you.ubc.ca/ubc_programs/urban-forestry/,vancouver,urban-forestry,True,
568680,Urban Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/urbanstudies/,vancouver,arts,True,
547511,Vantage One: Applied Science (Engineering),[],https://you.ubc.ca/ubc_programs/vantage-one-applied-science/,,,False,no requirements widget on the program page
572165,Vantage One: Arts,[],https://you.ubc.ca/ubc_programs/vantage-one-arts/,,,False,no requirements widget on the program page
547517,Vantage One: Science,[],https://you.ubc.ca/ubc_programs/vantage-one-science/,vancouver,science-2,True,
1029,Visual Art (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/visual-art-ba/,vancouver,arts,True,
1031,Visual Art (BFA),"[""Bachelor of Fine Arts""]",https://you.ubc.ca/ubc_programs/visual-art-bfa/,vancouver,fine-arts,True,
1039,Wood Products,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/wood-products/,vancouver,natural-resources,True,
