campus,level,page,url,section,context,table_label,kind,note
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ANTH_V 478 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ARCL_V 306 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ARCH_V 502 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 205 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 320 (costs typically covered by department) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 321 (costs typically covered by department) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 323 (costs typically covered by department) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 326 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 328 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 409 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 427 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 428 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,BIOL_V 465 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,CONS_V 451 (Natural Resources Conservation) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FRST_V 305 (Silviculture I Field Trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FRST_V 351 (Interior Field School) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FRST_V 352 (Integrated Field Studies) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FRST_V 452 (Coast Field School) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FRST_V 551 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,FOPR_V 352 (Harvesting Field Trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,GEOG_V 309 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ISCI_V 320 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ISCI_V 361 (optional field trip) variable
